433.5,164.5,45
280,385.5,12.75
266.5,476.5,16.5
258,506.5,12.75
492.5,596.5,45.5
267,528,12.5
153,498,17.5
154.5,530.5,16.5
90.5,572.5,11
219.5,574,10.75
87,636,6.5
167,680,10.5
283,643,14
432.5,774,18.25
425.5,809.5,16
304,832.5,14.25
588.5,500,26.75
601.5,544,12.75
649.5,506,10.75
700,523,32.5
710,653.5,12.25
786,670,31.5
549.5,348,14.75
625,337.5,10.75
767,292,14
